"","Cell","Cell_type"
"984","C_984","Stromal cell"
"985","C_985","Stromal cell"
"986","C_986","Macrophage"
"987","C_987","Macrophage"
"988","C_988","Macrophage"
"989","C_989","Stromal cell"
"990","C_990","Stromal cell"
"991","C_991","Macrophage"
"992","C_992","Stromal cell"
"993","C_993","Macrophage"
"994","C_994","Macrophage"
"995","C_995","Stromal cell"
"996","C_996","Macrophage"
"997","C_997","Stromal cell"
"998","C_998","Fibroblast"
"999","C_999","Fibroblast"
"1000","C_1000","Stromal cell"
"1001","C_1001","Fibroblast"
"1002","C_1002","Stromal cell"
"1003","C_1003","Stromal cell"
"1004","C_1004","Fibroblast"
"1005","C_1005","Stromal cell"
"1006","C_1006","Fibroblast"
"1007","C_1007","Macrophage"
"1008","C_1008","Macrophage"
"1009","C_1009","Macrophage"
"1010","C_1010","Macrophage"
"1011","C_1011","Stromal cell"
"1012","C_1012","Fibroblast"
"1013","C_1013","Stromal cell"
"1014","C_1014","Macrophage"
"1015","C_1015","Macrophage"
"1016","C_1016","Stromal cell"
"1017","C_1017","Stromal cell"
"1018","C_1018","Stromal cell"
"1019","C_1019","Macrophage"
"1020","C_1020","Macrophage"
"1021","C_1021","Stromal cell"
"1022","C_1022","Macrophage"
"1023","C_1023","Macrophage"
"1024","C_1024","Fibroblast"
"1025","C_1025","Macrophage"
"1026","C_1026","Macrophage"
"1027","C_1027","Macrophage"
"1028","C_1028","Stromal cell"
"1029","C_1029","Fibroblast"
"1030","C_1030","Macrophage"
"1031","C_1031","Macrophage"
"1032","C_1032","Stromal cell"
"1033","C_1033","Stromal cell"
"1034","C_1034","Macrophage"
"1035","C_1035","Stromal cell"
"1036","C_1036","Macrophage"
"1037","C_1037","Macrophage"
"1038","C_1038","Macrophage"
"1039","C_1039","Macrophage"
"1040","C_1040","Macrophage"
"1041","C_1041","Macrophage"
"1042","C_1042","Stromal cell"
"1043","C_1043","Stromal cell"
"1044","C_1044","Macrophage"
"1045","C_1045","Macrophage"
"1046","C_1046","Fibroblast"
"1047","C_1047","Stromal cell"
"1048","C_1048","Macrophage"
"1049","C_1049","Stromal cell"
"1050","C_1050","Fibroblast"
"1051","C_1051","Stromal cell"
"1052","C_1052","Fibroblast"
"1053","C_1053","Fibroblast"
"1054","C_1054","Stromal cell"
"1055","C_1055","Macrophage"
"1056","C_1056","Stromal cell"
"1057","C_1057","Macrophage"
"1058","C_1058","Stromal cell"
"1059","C_1059","Stromal cell"
"1060","C_1060","Fibroblast"
"1061","C_1061","Stromal cell"
"1062","C_1062","Macrophage"
"1063","C_1063","Macrophage"
"1064","C_1064","Stromal cell"
"1065","C_1065","Macrophage"
"1066","C_1066","Macrophage"
"1067","C_1067","Stromal cell"
"1068","C_1068","Macrophage"
"1069","C_1069","Macrophage"
"1070","C_1070","Macrophage"
"1071","C_1071","Stromal cell"
"1072","C_1072","Macrophage"
"1073","C_1073","Macrophage"
"1074","C_1074","Stromal cell"
"1075","C_1075","Macrophage"
"1076","C_1076","Macrophage"
"1077","C_1077","Macrophage"
"1078","C_1078","Macrophage"
"1079","C_1079","Fibroblast"
"1080","C_1080","Fibroblast"
"1081","C_1081","Macrophage"
"1082","C_1082","Macrophage"
"1083","C_1083","Macrophage"
"1084","C_1084","Macrophage"
"1085","C_1085","Macrophage"
"1086","C_1086","Macrophage"
"1087","C_1087","Macrophage"
"1088","C_1088","Macrophage"
"1089","C_1089","Macrophage"
"1090","C_1090","Macrophage"
"1091","C_1091","Macrophage"
"1092","C_1092","Macrophage"
"1093","C_1093","Macrophage"
"1094","C_1094","Fibroblast"
"1095","C_1095","Macrophage"
"1096","C_1096","Macrophage"
"1097","C_1097","Fibroblast"
"1098","C_1098","Stromal cell"
"1099","C_1099","Macrophage"
"1100","C_1100","Macrophage"
"1101","C_1101","Macrophage"
"1102","C_1102","Stromal cell"
"1103","C_1103","Fibroblast"
"1104","C_1104","Macrophage"
"1105","C_1105","Macrophage"
"1106","C_1106","Fibroblast"
"1107","C_1107","Stromal cell"
"1108","C_1108","Stromal cell"
"1109","C_1109","Macrophage"
"1110","C_1110","Macrophage"
"1111","C_1111","Macrophage"
"1112","C_1112","Macrophage"
"1113","C_1113","Macrophage"
"1114","C_1114","Macrophage"
"1115","C_1115","Macrophage"
"1116","C_1116","Macrophage"
"1117","C_1117","Macrophage"
"1118","C_1118","Stromal cell"
"1119","C_1119","Macrophage"
"1120","C_1120","Macrophage"
"1121","C_1121","Macrophage"
"1122","C_1122","Macrophage"
"1123","C_1123","Macrophage"
"1124","C_1124","Macrophage"
"1125","C_1125","Macrophage"
"1126","C_1126","Stromal cell"
"1127","C_1127","Macrophage"
"1128","C_1128","Macrophage"
"1129","C_1129","Macrophage"
"1130","C_1130","Macrophage"
"1131","C_1131","Macrophage"
"1132","C_1132","Macrophage"
"1133","C_1133","Macrophage"
"1134","C_1134","Stromal cell"
"1135","C_1135","Macrophage"
"1136","C_1136","Macrophage"
"1137","C_1137","Macrophage"
"1138","C_1138","Macrophage"
"1139","C_1139","Fibroblast"
"1140","C_1140","Macrophage"
"1141","C_1141","Macrophage"
"1142","C_1142","Macrophage"
"1143","C_1143","Macrophage"
"1144","C_1144","Macrophage"
"1145","C_1145","Macrophage"
"1146","C_1146","Macrophage"
"1147","C_1147","Macrophage"
"1148","C_1148","Macrophage"
"1149","C_1149","Macrophage"
"1150","C_1150","Macrophage"
"1151","C_1151","Macrophage"
"1152","C_1152","Macrophage"
"1153","C_1153","Macrophage"
"1154","C_1154","Macrophage"
"1155","C_1155","Macrophage"
"1156","C_1156","Macrophage"
"1157","C_1157","Macrophage"
"1158","C_1158","Macrophage"
"1159","C_1159","Macrophage"
"1160","C_1160","Macrophage"
"1161","C_1161","Macrophage"
"1162","C_1162","Macrophage"
"1163","C_1163","Macrophage"
"1164","C_1164","Macrophage"
"1165","C_1165","Macrophage"
"1166","C_1166","Macrophage"
"1167","C_1167","Macrophage"
"1168","C_1168","Macrophage"
"1169","C_1169","Macrophage"
"1170","C_1170","Macrophage"
"1171","C_1171","Macrophage"
"1172","C_1172","Macrophage"
"1173","C_1173","Macrophage"
"1174","C_1174","Macrophage"
"1175","C_1175","Macrophage"
"1176","C_1176","Macrophage"
"1177","C_1177","Macrophage"
"1178","C_1178","Macrophage"
"1179","C_1179","Macrophage"
"1180","C_1180","Macrophage"
"1181","C_1181","Macrophage"
"1182","C_1182","Macrophage"
"1183","C_1183","Macrophage"
"1184","C_1184","Macrophage"
"1185","C_1185","Macrophage"
"1186","C_1186","Macrophage"
"1187","C_1187","Macrophage"
"1188","C_1188","Macrophage"
"1189","C_1189","Macrophage"
"1190","C_1190","Macrophage"
"1191","C_1191","Macrophage"
"1192","C_1192","Macrophage"
"1193","C_1193","Macrophage"
"1194","C_1194","Macrophage"
"1195","C_1195","Macrophage"
"1196","C_1196","Macrophage"
"1197","C_1197","Macrophage"
"1198","C_1198","Macrophage"
"1199","C_1199","Macrophage"
"1200","C_1200","Macrophage"
"1201","C_1201","Macrophage"
"1202","C_1202","Macrophage"
"1203","C_1203","Macrophage"
"1204","C_1204","Macrophage"
"1205","C_1205","Macrophage"
"1206","C_1206","Macrophage"
"1207","C_1207","Macrophage"
"1208","C_1208","Macrophage"
"1209","C_1209","Macrophage"
"1210","C_1210","Macrophage"
"1211","C_1211","Macrophage"
"1212","C_1212","Macrophage"
"1213","C_1213","Macrophage"
"1214","C_1214","Macrophage"
"1215","C_1215","Macrophage"
"1216","C_1216","Macrophage"
"1217","C_1217","Macrophage"
"1218","C_1218","Macrophage"
"1219","C_1219","Macrophage"
"1220","C_1220","Macrophage"
"1221","C_1221","Macrophage"
"1222","C_1222","Macrophage"
"1223","C_1223","Macrophage"
"1224","C_1224","Macrophage"
"1225","C_1225","Macrophage"
"1226","C_1226","Macrophage"
"1227","C_1227","Macrophage"
"1228","C_1228","Stromal cell"
"1229","C_1229","Macrophage"
"1230","C_1230","Macrophage"
"1231","C_1231","Macrophage"
"1232","C_1232","Macrophage"
"1233","C_1233","Macrophage"
"1234","C_1234","Macrophage"
"1235","C_1235","Macrophage"
"1236","C_1236","Macrophage"
"1237","C_1237","Macrophage"
"1238","C_1238","Macrophage"
"1239","C_1239","Macrophage"
"1240","C_1240","Macrophage"
"1241","C_1241","Macrophage"
"1242","C_1242","Macrophage"
"1243","C_1243","Macrophage"
"1244","C_1244","Macrophage"
"1245","C_1245","Stromal cell"
"1246","C_1246","Macrophage"
"1247","C_1247","Macrophage"
"1248","C_1248","Stromal cell"
"1249","C_1249","Macrophage"
"1250","C_1250","Macrophage"
"1251","C_1251","Macrophage"
"1252","C_1252","Macrophage"
"1253","C_1253","Macrophage"
"1254","C_1254","Macrophage"
"1255","C_1255","Macrophage"
"1256","C_1256","Macrophage"
"1257","C_1257","Macrophage"
"1258","C_1258","Macrophage"
"1259","C_1259","Macrophage"
"1260","C_1260","Macrophage"
"1261","C_1261","Macrophage"
"1262","C_1262","Macrophage"
"1263","C_1263","Macrophage"
"1264","C_1264","Macrophage"
"1265","C_1265","Macrophage"
"1266","C_1266","Macrophage"
"1267","C_1267","Macrophage"
"1268","C_1268","Macrophage"
"1269","C_1269","Macrophage"
"1270","C_1270","Macrophage"
"1271","C_1271","Macrophage"
"1272","C_1272","Macrophage"
"1273","C_1273","Macrophage"
"1274","C_1274","Macrophage"
"1275","C_1275","Macrophage"
"1276","C_1276","Macrophage"
"1277","C_1277","Macrophage"
"1278","C_1278","Macrophage"
"1279","C_1279","Macrophage"
"1280","C_1280","Macrophage"
"1281","C_1281","Macrophage"
"1282","C_1282","Macrophage"
"1283","C_1283","Macrophage"
"1284","C_1284","Macrophage"
"1285","C_1285","Macrophage"
"1286","C_1286","Macrophage"
"1287","C_1287","Macrophage"
"1288","C_1288","Macrophage"
"1289","C_1289","Macrophage"
"1290","C_1290","Macrophage"
"1291","C_1291","Macrophage"
"1292","C_1292","Macrophage"
"1293","C_1293","Macrophage"
"1294","C_1294","Macrophage"
"1295","C_1295","Macrophage"
"1296","C_1296","Macrophage"
"1297","C_1297","Macrophage"
"1298","C_1298","Macrophage"
"1299","C_1299","Macrophage"
"1300","C_1300","Macrophage"
"1301","C_1301","Macrophage"
"1302","C_1302","Macrophage"
"1303","C_1303","Macrophage"
"1304","C_1304","Monocyte"
"1305","C_1305","Neutrophil"
"1306","C_1306","Neutrophil"
"1307","C_1307","Macrophage"
"1308","C_1308","Monocyte"
"1309","C_1309","Macrophage"
"1310","C_1310","Macrophage"
"1311","C_1311","Macrophage"
"1312","C_1312","Monocyte"
"1313","C_1313","Macrophage"
"1314","C_1314","Macrophage"
"1315","C_1315","Macrophage"
"1316","C_1316","Fibroblast"
"1317","C_1317","Macrophage"
"1318","C_1318","Macrophage"
"1319","C_1319","Epithelial cell"
"1320","C_1320","Monocyte"
"1321","C_1321","Macrophage"
"1322","C_1322","Monocyte"
"1323","C_1323","Neutrophil"
"1324","C_1324","Macrophage"
"1325","C_1325","Macrophage"
"1326","C_1326","Macrophage"
"1327","C_1327","Monocyte"
"1328","C_1328","Macrophage"
"1329","C_1329","Monocyte"
"1330","C_1330","Monocyte"
"1331","C_1331","Macrophage"
"1332","C_1332","Dendritic cell"
"1333","C_1333","Macrophage"
"1334","C_1334","Dendritic cell"
"1335","C_1335","Macrophage"
"1336","C_1336","Macrophage"
"1337","C_1337","Dendritic cell"
"1338","C_1338","Macrophage"
"1339","C_1339","Macrophage"
"1340","C_1340","Macrophage"
"1341","C_1341","Macrophage"
"1342","C_1342","T cell"
"1343","C_1343","Macrophage"
"1344","C_1344","Macrophage"
"1345","C_1345","Macrophage"
"1346","C_1346","Dendritic cell"
"1347","C_1347","Macrophage"
"1348","C_1348","Macrophage"
"1349","C_1349","Macrophage"
"1350","C_1350","Macrophage"
"1351","C_1351","Macrophage"
"1352","C_1352","Macrophage"
"1353","C_1353","Macrophage"
"1354","C_1354","Macrophage"
"1355","C_1355","Macrophage"
"1356","C_1356","Macrophage"
"1357","C_1357","Macrophage"
"1358","C_1358","Macrophage"
"1359","C_1359","Macrophage"
"1360","C_1360","Macrophage"
"1361","C_1361","Macrophage"
"1362","C_1362","Macrophage"
"1363","C_1363","Macrophage"
"1364","C_1364","Macrophage"
"1365","C_1365","Macrophage"
"1366","C_1366","Macrophage"
"1367","C_1367","Macrophage"
"1368","C_1368","Macrophage"
"1369","C_1369","Macrophage"
"1370","C_1370","Macrophage"
"1371","C_1371","Macrophage"
"1372","C_1372","Macrophage"
